"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max","Area"
1987,41.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1989,47,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1990,68.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1991,66.1999969482422,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1992,46.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1993,68.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1994,62.5,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1995,58.0999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1996,74.5999984741211,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1997,24.3999996185303,-29.12,26.22,85,1393,54.9705879884608,67.3005524524668,127,271.799987792969,"South Africa"
1906,40.4000015258789,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1907,24.3999996185303,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1908,71.4000015258789,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1909,43.4000015258789,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1911,110,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1912,35.7999992370605,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1913,44.2000007629395,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1914,59.4000015258789,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1915,39.9000015258789,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1916,34.7999992370605,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1917,53.0999984741211,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1918,32.5,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
1919,35.7999992370605,-33.92,18.53,83,15,37.9385541663112,67.3005524524668,110,271.799987792969,"South Africa"
