"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1981,60.7999992370605,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1982,82.3000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1983,46.2999992370605,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1984,57.0999984741211,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1985,69.5,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1986,69.3000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1987,84.5999984741211,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1988,157.899993896484,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1989,62.7000007629395,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1990,53,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1991,157.199996948242,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1992,79.3000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1993,51,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1994,63.4000015258789,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1995,243.899993896484,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1996,75.3000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1997,124.099998474121,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1998,150.699996948242,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
1999,92.8000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2000,57,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2001,81.0999984741211,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2002,123.300003051758,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2003,119.800003051758,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2004,97.5999984741211,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2005,72,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2006,67.3000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2007,68.3000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2008,151,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2009,70.8000030517578,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2010,122,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2011,97.6999969482422,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2012,47.9000015258789,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
2013,61,5.6027,-0.1679,58,63,94.8810347853036,84.1297414056186,243.899993896484,243.899993896484
