"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1953,98.5999984741211,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1954,78,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1955,127.800003051758,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1956,72.0999984741211,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1957,133.899993896484,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1958,140,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1959,136.800003051758,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1960,162,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1961,58,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1962,69.1999969482422,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1963,110.400001525879,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1964,137.399993896484,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1965,144,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1966,69.1999969482422,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1967,355.799987792969,25.62,85.17,67,53,123.195522137542,111.07582448603,366,366
1901,112,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1902,49.2999992370605,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1903,127.800003051758,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1904,117.599998474121,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1905,63.7999992370605,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1906,105.199996948242,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1907,130,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1908,61.7000007629395,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1909,56.9000015258789,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1910,180.600006103516,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1911,86.9000015258789,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1912,101.599998474121,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1913,106.699996948242,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1914,158.800003051758,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1915,127.5,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1916,146.100006103516,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1917,99.3000030517578,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
1918,54.5999984741211,29.98,76.83,68,254,92.0117651434506,111.07582448603,195.300003051758,366
