"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max","Area"
1968,113,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1969,88,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1970,88,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1971,183,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1972,216,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1973,84,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1974,96,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1975,77,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1976,81,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1977,110,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1978,80,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1979,141,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1980,104,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1981,57,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1982,67,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1983,99,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1984,56,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1985,89,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1986,149,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1987,119,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1988,107,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1989,107,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1990,72,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1991,129,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1992,208,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1993,83,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1994,114,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1995,228,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1996,206,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1997,92,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1998,126,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1999,92,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2000,110,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2004,192.5,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2005,153.899993896484,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2006,153.899993896484,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2007,201.399993896484,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2008,103.099998474121,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2009,109,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2010,72.9000015258789,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2011,115.599998474121,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2012,90.4000015258789,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2013,246.899993896484,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2014,166.600006103516,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2015,101.099998474121,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2016,109,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2017,109,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2018,61,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
2019,133.100006103516,35.733,140.85,56,28,119.917856897627,77.0579118620849,246.899993896484,614.700012207031,"Asia"
1951,5.19999980926514,40.15,94.683,62,1140,10.5064516144414,77.0579118620849,30.7999992370605,614.700012207031,"Asia"
1952,19.7000007629395,40.15,94.683,62,1140,10.5064516144414,77.0579118620849,30.7999992370605,614.700012207031,"Asia"
1953,6.09999990463257,40.15,94.683,62,1140,10.5064516144414,77.0579118620849,30.7999992370605,614.700012207031,"Asia"
1954,7.90000009536743,40.15,94.683,62,1140,10.5064516144414,77.0579118620849,30.7999992370605,614.700012207031,"Asia"
1955,14.1999998092651,40.15,94.683,62,1140,10.5064516144414,77.0579118620849,30.7999992370605,614.700012207031,"Asia"
1956,1.70000004768372,40.15,94.683,62,1140,10.5064516144414,77.0579118620849,30.7999992370605,614.700012207031,"Asia"
