"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Area","Singular_max","Overall_max"
1928,53.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1929,48.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1930,75.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1931,34.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1932,55.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1933,35.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1934,51.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1935,53.2999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1936,72.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1937,67.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1938,56.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1939,68.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1940,58.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1941,92.1999969482422,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1942,43.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1943,38.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1944,53.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1945,54.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
