"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1879,56,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1880,44,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1881,41,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1882,60.5999984741211,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1883,52.7999992370605,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1884,62.4000015258789,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1885,38.2000007629395,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1886,96.1999969482422,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1887,52,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1888,45.2000007629395,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1889,59.9000015258789,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1890,59,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1892,45.2999992370605,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1893,48.2999992370605,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1895,42,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1897,66,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1898,81,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1899,50,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1900,68,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1901,50,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1902,75.8000030517578,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1903,46.5999984741211,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1904,57.4000015258789,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1905,70.1999969482422,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1906,64.5999984741211,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1907,77.4000015258789,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1908,65,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1909,42,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1910,80,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1911,60.2000007629395,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1912,30.5,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1913,89,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1914,87,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1915,55,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1916,80.4000015258789,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1917,55.2000007629395,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1919,73.6999969482422,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1921,65.8000030517578,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1922,48,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1923,107.699996948242,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1924,88.8000030517578,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1925,84,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1926,69.3000030517578,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1927,67.5,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1928,103.199996948242,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1929,63,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1930,76,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1931,113,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1932,107,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1933,63,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1934,65,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1935,70.5,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
