"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1968,45.2000007629395,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1969,89.1999969482422,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1970,25.1000003814697,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1971,51.9000015258789,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1973,55.7999992370605,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1975,45.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1979,30.3999996185303,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1980,102.300003051758,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1981,102.199996948242,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1982,30.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1983,102.300003051758,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1984,126.199996948242,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1985,70.1999969482422,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1986,104.199996948242,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1987,46.2999992370605,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1988,72,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1991,69.6999969482422,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1992,60.2999992370605,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1993,75.4000015258789,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1994,66.0999984741211,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1995,63.5,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1996,79,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1997,54.7000007629395,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1998,40.5999984741211,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
2000,138.899993896484,-4.3,-38.5,56,42,67.5910708904266,58.1469386909863,138.899993896484,223
1941,50,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1942,55.2000007629395,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1943,69,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1944,72.6999969482422,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1945,78.4000015258789,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1946,77.8000030517578,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1947,50.2999992370605,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1948,52.5,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1954,60.2999992370605,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1955,76.5,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1957,94.4000015258789,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1959,62.2000007629395,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1960,141.699996948242,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1961,76,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1962,61.0999984741211,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1963,94.1999969482422,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1964,66.5,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1965,90,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1966,62.9000015258789,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1967,61.5,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1968,76,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1969,63.4000015258789,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1970,64.5,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1971,61,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1972,70.8000030517578,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1973,57.5,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1974,98.6999969482422,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1975,71.8000030517578,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1976,57.5,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
1977,75.3000030517578,-24.6,-48.22,50,40,75.8660001373291,58.1469386909863,141.699996948242,223
